"","Device","Code","Input","cross_section_SDC_high","number_SDCs_high","cross_section_DUE_high","number_DUE_high","cross_section_SDC_thermals","number_SDCs_thermals","cross_section_DUE_thermals","number_DUE_thermals","FIT_SDC_high","FIT_DUE_high","FIT_SDC_thermals","FIT_DUE_thermals","FIT_SDC_thermals_storm","FIT_DUE_thermals_storm","cross_section_SDC_high_err","cross_section_DUE_high_err","cross_section_SDC_thermals_err","cross_section_DUE_thermals_err","FIT_SDC_high_err","FIT_DUE_high_err","FIT_DUE_thermals_err","FIT_SDC_thermals_err","FIT_SDC_thermals_storm_err","FIT_DUE_thermals_storm_err"
"1","XeonPhi","MxM",4096,27.4132492113565,132,4.76340694006309,23,3.27477867100845,60,1,10,356.372239747634,61.9242902208202,13.0991146840338,4,26.1982293680676,8,0.89320133368834,0.891971536418218,0.457900821549566,0.619806421393002,3.22048320792613,3.21604911081028,1.239612842786,0.915801643099132,1.29513910411436,1.75307729435983
"2","XeonPhi","HotSpot",1024,44.1640378548896,49,47.9495268138801,53,3.9642057596418,14,8.29652996845426,16,574.132492113565,623.343848580442,15.8568230385672,33.186119873817,31.7136460771344,66.3722397476341,1.86076881095512,1.86427638958351,1.04296599198905,1.41138118360203,6.70909735968286,6.72174411428022,2.82276236720406,2.08593198397811,2.94995330192966,3.99198882305636
"3","XeonPhi","LavaMD",15,21.7665615141956,162,10.7570977917981,34,3.7573776330518,59,1.16719242902208,10,282.965299684543,139.842271293375,15.0295105322072,4.66876971608833,30.0590210644144,9.33753943217666,0.718444920064341,1.10246337643548,0.494620928558765,0.669618281958552,2.59038999788861,3.97498823305928,1.3392365639171,0.989241857117531,1.39899925080276,1.89396651191751
"4","XeonPhi","LUD",4096,47.0031545741325,48,10.7570977917981,11,2.8438867406126,35,1.18927444794953,8,611.041009463722,139.842271293375,11.3755469624504,4.75709779179811,22.7510939249008,9.51419558359621,1.9395409605754,1.93823881812545,0.558699390235607,0.755704697554119,6.99311438421728,6.98841944284602,1.51140939510824,1.11739878047121,1.58024050992155,2.13745566486019
"5","K20","MxM",4096,23.3307651757836,44,21.1183650298041,40,14.5054945054945,68,3.1375856615709,8,303.299947285187,274.538745387454,58.021978021978,12.5503426462836,116.043956043956,25.1006852925672,1.42723084948131,1.42415159918542,0.905248647125292,1.22746431096238,5.14595400972889,5.13485161489707,2.45492862192476,1.81049729425058,2.56042982816897,3.47179335178388
"6","K20","YOLOv2",0,1.42800373058676,16,6.83832772393658,77,1,10,12.288877174486,47,18.5640484976278,88.8982604111755,4,49.1555086979441,8,98.3110173958882,0.585545639309081,0.584097925701473,0.619806421393002,1.00222041311159,2.11121482665323,2.10599502100882,2.00444082622318,1.239612842786,1.75307729435983,2.83470740141915
"7","K20","HotSpot",1024,26.7499290377519,47,22.7273833177892,43,12.6373626373626,70,2.63476744657557,8,347.749077490775,295.45598313126,50.5494505494506,10.5390697863023,101.098901098901,21.0781395726045,1.47866045899967,1.42493994776458,0.832789566180113,1.12481790875038,5.33138610392441,5.13769404612218,2.24963581750077,1.66557913236023,2.35548459818945,3.18146548350987
"8","TitanV","MxM",8096,30.6513409961686,22,2.68199233716475,2,10.9902206154987,202,1,10,398.467432950192,34.8659003831418,43.9608824619948,4,87.9217649239896,8,2.3134998238686,2.26970722368019,0.457176177214403,0.619806421393002,8.34144224073516,8.18354577526995,1.239612842786,0.914352354428806,1.29308950042099,1.75307729435983
"9","TitanX","MxM",8096,55.440414507772,103,19.8445595854922,37,8.91745361858599,64,1.27461139896373,5,720.725388601036,257.979274611399,35.669814474344,5.09844559585492,71.3396289486879,10.1968911917098,1.43797287325055,1.43540991511914,0.731621591709556,0.989600641699374,5.18468492723113,5.17544405027149,1.97920128339875,1.46324318341911,2.06933835504129,2.79901329764875
"10","TitanX","LavaMD",25,36.8911917098446,150,1.72020725388601,7,18.1180010028414,65,NA,NA,479.585492227979,22.3626943005181,72.4720040113655,NA,144.944008022731,NA,0.972012352707992,0.971622221304475,1.03479550304184,NA,3.50464037807305,3.5032337392935,NA,2.06959100608369,2.92684366936893,NA
