"","Device","Code","Input","cross_section_SDC_high","number_SDCs_high","cross_section_DUE_high","number_DUE_high","cross_section_SDC_thermals","number_SDCs_thermals","cross_section_DUE_thermals","number_DUE_thermals","SDC_DUE_ratio_high","SDC_DUE_ratio_thermal","FIT_SDC_high","FIT_DUE_high","FIT_SDC_high_LANLsupercomputer","FIT_DUE_high_LANLsupercomputer","FIT_SDC_high_ORNLsupercomputer","FIT_DUE_high_ORNLsupercomputer","FIT_SDC_high_airplane","FIT_DUE_high_airplane","FIT_SDC_thermals","FIT_DUE_thermals","FIT_SDC_thermals_storm","FIT_DUE_thermals_storm","FIT_SDC_thermals_LANLsupercomputer","FIT_DUE_thermals_LANLsupercomputer","FIT_SDC_thermals_ORNLsupercomputer","FIT_DUE_thermals_ORNLsupercomputer","FIT_SDC_thermals_airplane","FIT_DUE_thermals_airplane","cross_section_SDC_high_err","cross_section_DUE_high_err","cross_section_SDC_thermals_err","cross_section_DUE_thermals_err","FIT_SDC_high_err","FIT_DUE_high_err","FIT_SDC_high_LANLsupercomputer_err","FIT_DUE_high_LANLsupercomputer_err","FIT_SDC_high_ORNLsupercomputer_err","FIT_DUE_high_ORNLsupercomputer_err","FIT_SDC_high_airplane_err","FIT_DUE_high_airplane_err","FIT_DUE_thermals_err","FIT_SDC_thermals_err","FIT_SDC_thermals_storm_err","FIT_DUE_thermals_storm_err","FIT_DUE_thermals_airplane_err","FIT_SDC_thermals_airplane_err","FIT_DUE_thermals_ORNLsupercomputer_err","FIT_SDC_thermals_ORNLsupercomputer_err","FIT_DUE_thermals_LANLsupercomputer_err","FIT_SDC_thermals_LANLsupercomputer_err"
"1","XeonPhi","MxM",4096,27.4132492113565,132,4.76340694006309,23,3.27477867100845,60,1,10,0.173762945914845,0.305364148378326,356.372239747634,61.9242902208202,867.629337539432,150.761829652997,195.230009588959,33.9237415971609,125624.778233438,21828.9315457413,13.0991146840338,4,26.1982293680676,8,45.8469013941182,14,10.3155528136766,3.15,4617.56891726875,1410.04,0.89320133368834,0.891971536418218,0.457900821549566,0.619806421393002,3.22048320792613,3.21604911081028,5.02500178131393,5.01808314691434,2.38364948873117,2.38036757957631,60.4653762722041,60.3821249918132,1.239612842786,0.915801643099132,1.29513910411436,1.75307729435983,23.2740406118061,17.194404493216,1.10004727171154,0.812693337910228,2.31910327497505,1.71330799136079
"2","XeonPhi","HotSpot",1024,44.1640378548896,49,47.9495268138801,53,3.9642057596418,14,8.29652996845426,16,1.08571428571429,2.09286058077972,574.132492113565,623.343848580442,1397.79179810726,1517.60252365931,314.524756529968,341.484021375394,202387.444794953,219734.940063091,15.8568230385672,33.186119873817,31.7136460771344,66.3722397476341,55.4988806349852,116.15141955836,12.4872481428717,26.1340694006309,5589.68868932533,11698.4391167192,1.86076881095512,1.86427638958351,1.04296599198905,1.41138118360203,6.70909735968286,6.72174411428022,10.4683750874531,10.4881081400035,4.96575683173769,4.97511736187675,125.964977957861,126.202423932884,2.82276236720406,2.08593198397811,2.94995330192966,3.99198882305636,52.9980681904944,39.1638937843375,2.50495310596655,1.85108100590006,5.28090483117828,3.90242140807985
"3","XeonPhi","LavaMD",15,21.7665615141956,162,10.7570977917981,34,3.7573776330518,59,1.16719242902208,10,0.494202898550725,0.31064017062189,282.965299684543,139.842271293375,688.91167192429,340.46214511041,155.015772861199,76.6092442690852,99748.0977917981,49295.7990536278,15.0295105322072,4.66876971608833,30.0590210644144,9.33753943217666,52.6032868627251,16.3406940063091,11.8357395441132,3.67665615141956,5298.05275770835,1645.7880126183,0.718444920064341,1.10246337643548,0.494620928558765,0.669618281958552,2.59038999788861,3.97498823305928,4.04185133512009,6.20227514388672,1.91728426929378,2.9420984547054,48.6352189412445,74.631396492916,1.3392365639171,0.989241857117531,1.39899925080276,1.89396651191751,25.1445008486437,18.5732628468956,1.18845455408667,0.877865062723341,2.50548219100909,1.85070205099489
"4","XeonPhi","LUD",4096,47.0031545741325,48,10.7570977917981,11,2.8438867406126,35,1.18927444794953,8,0.228859060402685,0.418186290953819,611.041009463722,139.842271293375,1487.64984227129,340.46214511041,334.744205164038,76.6092442690852,215398.066246057,49295.7990536278,11.3755469624504,4.75709779179811,22.7510939249008,9.51419558359621,39.8144143685764,16.6498422712934,8.95824323292968,3.74621451104101,4009.99405973339,1676.92454258675,1.9395409605754,1.93823881812545,0.558699390235607,0.755704697554119,6.99311438421728,6.98841944284602,10.9115340676634,10.9042084313441,5.17597281226391,5.17249783851721,131.297468502733,131.209319806323,1.51140939510824,1.11739878047121,1.58024050992155,2.13745566486019,28.3770887398647,20.979441079217,1.341242784958,0.991593050220887,2.82758806382314,2.09046170046115
"5","K20","MxM",4096,60.1036269430052,44,54.4041450777202,40,37.3683770683604,68,8.08290155440415,8,0.905172413793103,0.21630325394163,781.347150259067,707.253886010363,1902.27979274611,1721.89119170984,428.042351854922,387.452128834197,275432.683937824,249314.067357513,149.473508273441,32.3316062176166,298.947016546883,64.6632124352332,523.157278957045,113.160621761658,117.710387765335,25.4611398963731,52690.9064014708,11397.214507772,2.29076254307009,2.28582022330372,1.45296025079133,1.97012926642514,8.25946180895148,8.24164202161409,12.887448132171,12.8596434651904,6.11326333565327,6.10007397112824,155.073457565318,154.738886609073,3.94025853285029,2.90592050158266,4.10959218451622,5.57236705641319,73.9793377006859,54.5593829251657,3.4966325769572,2.57874862960618,7.37154872261916,5.4364794550623
"6","K20","YOLOv2",0,3.67875647668394,16,17.6165803108808,77,2.57615326759151,10,31.6580310880829,47,4.7887323943662,12.288877174486,47.8238341968912,229.015544041451,116.432642487047,557.564766839378,26.1991439497409,125.460689336788,16858.3797927461,80730.2694300518,10.304613070366,126.632124352332,20.6092261407321,253.264248704663,36.0661457462811,443.212435233161,8.11488279291325,99.7227979274611,3632.47915343473,44639.0901554404,0.939824148472369,0.93750051028405,0.99481407271809,1.60860381002178,3.38858415723641,3.3802061606028,5.28729396394223,5.27422156291119,2.50806986791293,2.50186887070135,63.6215135645038,63.4642145860115,3.21720762004356,1.98962814543618,2.81375910735508,4.54981864923566,60.4038762919076,37.3557651719716,2.85498854384606,1.76561982706515,6.01884432816069,3.72225342365231
"7","K20","HotSpot",1024,68.9119170984456,47,58.5492227979275,43,32.5557830519806,70,6.78756476683938,8,0.849624060150376,0.208490293598588,895.854922279793,761.139896373057,2181.0621761658,1853.0829015544,490.772696523316,416.972291031088,315797.81865285,268309.424870466,130.223132207922,27.1502590673575,260.446264415845,54.300518134715,455.780962727729,95.0259067357513,102.550716613739,21.380829015544,45904.9563346147,9570.7378238342,2.37330912138444,2.2870855542743,1.33666053053597,1.80537768930389,8.55708772967797,8.24620423730897,13.3518414189097,12.8667620062643,6.33355197806159,6.10345070760115,160.661458533867,154.824543347772,3.61075537860779,2.67332106107194,3.78064690114557,5.10637922683873,67.7928337142296,50.1922703575327,3.20422753456496,2.37233710247131,6.75510476710079,5.00132574768908
"8","TitanV","MxM",8096,82.9015544041451,22,7.25388601036269,2,29.7248453952866,202,2.70466321243523,10,0.0875,0.0909899841855561,1077.72020725389,94.300518134715,2623.83419689119,229.585492227979,590.403243937824,51.6602838445596,379907.150259067,33241.8756476684,118.899381581147,10.8186528497409,237.798763162293,21.6373056994819,416.147835534013,37.8652849740933,93.6332629951529,8.51968911917098,41913.22100117,3813.68331606218,3.80474949240458,3.73272879388587,0.751865554624204,1.01932498237271,13.7182193851603,13.4585450637564,21.4048862845265,20.999709842555,10.153577743632,9.96137908166485,257.562993921808,252.687543705742,2.03864996474541,1.50373110924841,2.12659692886144,2.8830864290744,38.276162068557,28.2329270058437,1.80912237618706,1.33442898219637,3.81396484981806,2.81322330632054
"9","TitanX","MxM",8096,55.440414507772,103,19.8445595854922,37,8.91745361858599,64,1.27461139896373,5,0.357943925233645,0.142934457916008,720.725388601036,257.979274611399,1754.68911917098,628.080310880829,394.83216938342,141.327776517617,254062.906735751,90940.2740932642,35.669814474344,5.09844559585492,71.3396289486879,10.1968911917098,124.844350660204,17.8445595854922,28.0899788985459,4.01502590673575,12573.966300351,1797.25305699482,1.43797287325055,1.43540991511914,0.731621591709556,0.989600641699374,5.18468492723113,5.17544405027149,8.08979563401143,8.07537685888203,3.83745878432482,3.83061912387074,97.3437539454627,97.1702541734177,1.97920128339875,1.46324318341911,2.06933835504129,2.79901329764875,37.1599982339916,27.4727560899624,1.75636690491002,1.29849951227762,3.7027465509707,2.73747733294337
"10","TitanX","LavaMD",25,36.8911917098446,150,1.72020725388601,7,18.1180010028414,65,NA,NA,0.0466292134831461,NA,479.585492227979,22.3626943005181,1167.60621761658,54.4445595854922,262.729443552332,12.2508673117098,169058.681865285,7883.07336787565,72.4720040113655,NA,144.944008022731,NA,253.652014039779,NA,57.0717031589504,NA,25547.1061340465,NA,0.972012352707992,0.971622221304475,1.03479550304184,NA,3.50464037807305,3.5032337392935,5.4683794342845,5.4661846200543,2.59396919841728,2.59292807086243,65.8004980859405,65.7740880916654,NA,2.06959100608369,2.92684366936893,NA,NA,38.8570878445922,NA,1.83657982655647,NA,3.87185023775697
