,,,,,,,,,
Xeon,High Energy,,,,Thermals,,,,
Code,cross section SDC,#SDC,cross section Crash,#Crash,cross section SDC,#SDC,cross section Crash,#Crash,#VALUE!
DGEMM 4096,8.69E-09,132,1.51E-09,23,1.90E-09,60,3.17E-10,10,457.47%
HotSpot,1.40E-08,49,1.52E-08,53,2.30E-09,14,2.63E-09,16,610.24%
LavaMD 15,6.90E-09,162,3.41E-09,34,2.18E-09,59,3.70E-10,10,316.26%
LUD 4096,1.49E-08,48,3.41E-09,11,1.65E-09,35,3.77E-10,8,902.16%
K20,High Energy,,,,Thermals,,,,#VALUE!
Code,cross section SDC,#SDC,cross section Crash,#Crash,cross section SDC,#SDC,cross section Crash,#Crash,#VALUE!
MxM Double 4K,1.16E-08,44,1.05E-08,40,1.32E-08,68.00,1.56E-09,8.00,87.86%
Lava 25 double,1.24E-08,72,1.73E-10,1,2.63E-08,107.00,2.21E-09,9.00,47.33%
YOLOv2,7.1E−10,16,3.4E−09,77,9.10E-10,10.00,6.11E-09,47.00,78.02%
Hotspot float,1.33E-08,47,1.13E-08,43,1.15E-08,70.00,1.31E-09,8.00,115.52%
,,,,,,,,,#DIV/0!
Titan V,High Energy,,,,Thermals,,,,#VALUE!
Code,cross section SDC,#SDC,cross section Crash,#Crash,cross section SDC,#SDC,cross section Crash,#Crash,#VALUE!
MxM 8K double,1.60E-08,22,1.40E-09,2,1.05E-08,202,5.22E-10,10,152.38%
Lava 25 double,5.90E-09,60,2.30E-09,23,2.27E-08,38,3.59E-09,6,25.99%
Hotspot float,Trip hotspot is very robust,,,,5.53E-09,32,5.18E-10,3,#VALUE!
,,,,,,,,,#REF!
Titan X,High Energy,,,,Thermals,,,,#VALUE!
Code,cross section SDC,#SDC,cross section Crash,#Crash,cross section SDC,#SDC,cross section Crash,#Crash,#VALUE!
Trip MxM 8K double,1.07E-08,103,3.83E-09,37,3.15E-09,64,2.46E-10,5,338.30%
Lava 25 double,7.12E-09,150,3.32E-10,7,6.40E-09,65,0.00E+00,0,111.20%
YOLOv1,5.21E-09,72,6.73E-09,93,3.27E-10,4,6.55E-10,8,1593.49%
Hotspot float,5.54E-09,67,8.27E-10,11,2.60E-09,27,1.93E-10,2,#VALUE!
YOLOv2,Beam off very high,,,,2.24E-10,3,3.73E-10,5,212.99%
APU - 100% GPU,High Energy,,,,Thermals,,,,#VALUE!
Code,cross section SDC,#SDC,cross section Crash,#Crash,cross section SDC,#SDC,cross section Crash,#Crash,#VALUE!
BS,2.06E-08,103,4.00E-09,20,NA,NA,NA,NA,#VALUE!
CED,2.41E-09,20,5.21E-09,41,7.30E-10,12,1.82E-09,30,330.14%
SC,5.34E-08,112,1.43E-09,3,3.22E-08,52,1.86E-09,3,165.84%
BFS,1.41E-09,10,7.22E-09,46,1.68E-09,15,6.25E-09,56,83.93%
APU - 100% CPU,High Energy,,,,Thermals,,,,#VALUE!
Code,cross section SDC,#SDC,cross section Crash,#Crash,cross section SDC,#SDC,cross section Crash,#Crash,#VALUE!
BS,2.73E-08,100,1.91E-09,7,NA,NA,NA,NA,#VALUE!
CED,5.27E-09,28,4.89E-09,26,1.69E-09,28,1.81E-09,30,311.83%
SC,1.17E-07,110,5.34E-09,5,6.57E-08,105,1.88E-09,3,178.08%
BFS,1.71E-09,66,7.52E-10,29,2.60E-09,42,1.61E-09,26,65.77%
APU - CPU + GPU,High Energy,,,,Thermals,,,,#VALUE!
Code   50% WD,cross section SDC,#SDC,cross section Crash,#Crash,cross section SDC,#SDC,cross section Crash,#Crash,#VALUE!
BS,2.85E-08,107,2.66E-09,10,NA,NA,NA,NA,#VALUE!
CED,4.51E-09,45,4.51E-09,45,1.33E-09,12,2.32E-09,21,339.10%
SC,5.39E-08,29,3.10E-09,9,4.86E-08,138,3.88E-09,11,110.91%
BFS,3.57E-09,8,5.79E-09,13,5.02E-10,3,5.19E-09,31,711.16%
FPGA,High Energy,,,,Thermals,,,,
Code,cross section SDC,#SDC,cross section Crash,#Crash,cross section SDC,#SDC,cross section Crash,#Crash,
